OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
OP(39),0,Solved,0.0000,0.2700,false,true,OP(3),0.5447,"(\infty, (14,1), (5,2), (16,2), (7,1), (8,1), (1,2), (0,2), (15,1), (10,1), (8,2), (12,2), (9,1), (2,1), (4,2), (14,2), (13,1), (16,1), (2,2), (7,2), (1,1), (18,1), (13,2), (15,2), (0,1), (4,1), (11,2), (17,2), (6,1), (17,1), (6,2), (9,2), (12,1), (3,1), (3,2), (10,2), (11,1), (5,1), (18,2)) "
"OP(3,36)",0,Solved,0.0000,0.1600,false,true,OP(3),0.1674,"(\infty, (15,2), (2,1)) ((8,2), (16,2), (13,1), (0,1), (18,2), (0,2), (3,1), (14,1), (9,2), (5,2), (5,1), (7,1), (14,2), (2,2), (11,1), (1,1), (12,2), (6,2), (4,1), (18,1), (4,2), (7,2), (6,1), (9,1), (13,2), (11,2), (15,1), (16,1), (3,2), (17,2), (8,1), (12,1), (1,2), (10,2), (17,1), (10,1)) "
"OP(35,4)",0,Solved,0.0000,0.9700,false,true,OP(3),0.9816,"(\infty, (1,1), (7,2), (5,2), (6,1), (16,1), (1,2), (9,2), (8,1), (9,1), (0,2), (6,2), (13,1), (15,1), (11,2), (12,2), (10,1), (2,1), (15,2), (3,2), (11,1), (4,1), (18,2), (4,2), (14,1), (17,1), (17,2), (8,2), (3,1), (7,1), (14,2), (10,2), (12,1), (18,1), (2,2)) ((13,2), (16,2), (0,1), (5,1)) "
"OP(5,34)",0,Solved,0.0000,5.5600,false,true,"OP(5,6)",5.5629,"(\infty, (3,1), (16,1), (5,1), (16,2)) ((7,2), (4,2), (1,1), (2,1), (3,2), (10,2), (11,1), (9,1), (5,2), (9,2), (18,1), (6,1), (18,2), (17,2), (0,1), (15,1), (1,2), (12,2), (10,1), (13,1), (8,2), (6,2), (12,1), (17,1), (2,2), (11,2), (14,1), (4,1), (13,2), (0,2), (14,2), (8,1), (15,2), (7,1)) "
"OP(33,6)",0,Solved,0.0000,1.7800,false,true,"OP(5,6)",1.7970,"(\infty, (8,1), (17,1), (10,1), (9,2), (1,2), (16,1), (12,1), (4,2), (11,2), (1,1), (9,1), (14,2), (5,2), (4,1), (18,1), (6,2), (3,2), (5,1), (3,1), (15,2), (13,2), (11,1), (14,1), (17,2), (18,2), (2,1), (15,1), (10,2), (16,2), (7,1), (6,1), (2,2)) ((13,1), (7,2), (12,2), (8,2), (0,1), (0,2)) "
"OP(3,3,33)",0,Solved,0.0001,12.7200,false,true,OP(3),12.7241,"(\infty, (1,2), (5,1)) ((0,1), (7,2), (16,2)) ((12,2), (14,2), (10,2), (7,1), (9,2), (6,2), (14,1), (10,1), (3,2), (15,2), (9,1), (17,1), (8,2), (0,2), (11,1), (1,1), (18,2), (13,2), (12,1), (18,1), (4,2), (5,2), (15,1), (16,1), (11,2), (17,2), (4,1), (2,1), (2,2), (3,1), (6,1), (13,1), (8,1)) "
"OP(7,32)",0,Solved,0.0000,0.4500,false,true,OP(3),0.4600,"(\infty, (5,1), (7,2), (13,2), (2,1), (4,1), (5,2)) ((2,2), (1,2), (8,1), (0,1), (8,2), (16,2), (11,1), (10,1), (14,2), (17,2), (17,1), (7,1), (6,2), (11,2), (16,1), (12,1), (3,2), (15,2), (18,1), (13,1), (0,2), (4,2), (1,1), (14,1), (12,2), (10,2), (3,1), (15,1), (9,2), (18,2), (9,1), (6,1)) "
"OP(3,4,32)",0,Solved,0.0000,0.6100,false,true,OP(3),0.6168,"(\infty, (11,2), (1,1)) ((8,2), (13,2), (12,1), (14,1)) ((6,2), (0,2), (15,1), (9,1), (12,2), (15,2), (3,1), (8,1), (10,2), (2,2), (4,1), (11,1), (7,2), (17,2), (17,1), (13,1), (1,2), (3,2), (6,1), (7,1), (18,2), (14,2), (5,1), (16,1), (5,2), (4,2), (18,1), (2,1), (16,2), (9,2), (10,1), (0,1)) "
"OP(31,8)",0,Solved,0.0000,0.4200,false,true,OP(3),0.4251,"(\infty, (8,1), (11,2), (8,2), (15,1), (2,1), (0,2), (6,2), (16,1), (14,1), (15,2), (10,2), (10,1), (17,1), (3,2), (4,2), (0,1), (11,1), (13,2), (17,2), (1,1), (4,1), (18,2), (9,2), (18,1), (13,1), (7,2), (5,2), (9,1), (5,1), (16,2)) ((14,2), (2,2), (3,1), (12,1), (1,2), (12,2), (6,1), (7,1)) "
"OP(3,5,31)",0,Solved,0.0002,9.5600,false,true,OP(3),9.5719,"(\infty, (16,1), (8,2), (14,2), (13,2), (4,1), (1,2), (10,2), (8,1), (6,1), (0,2), (2,2), (7,1), (11,1), (17,2), (12,2), (9,1), (3,1), (4,2), (16,2), (12,1), (15,1), (3,2), (11,2), (13,1), (18,1), (9,2), (5,2), (5,1), (14,1), (7,2)) ((2,1), (10,1), (17,1), (6,2), (1,1)) ((0,1), (18,2), (15,2)) "
"OP(31,4,4)",0,Solved,0.0000,0.5100,false,true,OP(3),0.5148,"(\infty, (3,1), (14,2), (9,2), (0,1), (13,1), (6,2), (5,2), (5,1), (4,1), (17,2), (10,2), (15,1), (17,1), (13,2), (0,2), (14,1), (11,1), (18,2), (8,2), (9,1), (2,1), (12,2), (15,2), (12,1), (8,1), (16,2), (1,2), (18,1), (10,1), (7,2)) ((11,2), (3,2), (16,1), (7,1)) ((4,2), (2,2), (1,1), (6,1)) "
"OP(9,30)",0,Solved,0.0000,3.3800,false,true,"OP(5,6)",3.3883,"(\infty, (15,1), (5,1), (17,1), (3,2), (12,2), (18,1), (4,1), (7,2)) ((14,2), (16,2), (2,1), (3,1), (5,2), (9,2), (13,1), (10,1), (1,2), (0,2), (11,1), (9,1), (2,2), (13,2), (12,1), (16,1), (15,2), (10,2), (1,1), (14,1), (18,2), (6,2), (0,1), (8,1), (8,2), (11,2), (17,2), (6,1), (4,2), (7,1)) "
"OP(3,6,30)",0,Solved,0.0000,6.1900,false,true,OP(3),6.1931,"(\infty, (2,2), (14,1)) ((7,1), (13,1), (16,2), (9,2), (14,2), (3,2)) ((0,2), (15,2), (16,1), (17,1), (17,2), (7,2), (18,1), (11,1), (8,2), (6,2), (4,1), (0,1), (5,2), (18,2), (12,1), (10,1), (4,2), (1,2), (8,1), (3,1), (12,2), (11,2), (1,1), (9,1), (10,2), (6,1), (15,1), (13,2), (2,1), (5,1)) "
"OP(5,30,4)",0,Solved,0.0000,2.4100,false,true,"OP(5,6)",2.4064,"(\infty, (14,1), (7,1), (9,1), (8,2)) ((15,2), (10,2), (10,1), (1,1), (18,2), (7,2), (3,1), (16,1), (2,2), (6,2), (5,1), (2,1), (9,2), (12,2), (18,1), (17,1), (4,2), (3,2), (12,1), (8,1), (1,2), (13,2), (4,1), (15,1), (11,2), (5,2), (14,2), (0,1), (16,2), (13,1)) ((0,2), (17,2), (6,1), (11,1)) "
"OP(3,3,3,30)",0,Solved,0.0000,0.7500,false,true,OP(3),0.7537,"(\infty, (7,2), (2,1)) ((13,1), (10,1), (4,2)) ((0,1), (8,1), (16,2)) ((14,2), (1,2), (6,1), (12,1), (8,2), (15,2), (4,1), (11,1), (18,2), (3,2), (1,1), (16,1), (0,2), (17,2), (18,1), (9,1), (9,2), (6,2), (5,1), (7,1), (11,2), (2,2), (15,1), (14,1), (12,2), (3,1), (17,1), (10,2), (5,2), (13,2)) "
"OP(29,10)",0,Solved,0.0000,0.3500,false,true,"OP(5,6)",0.3575,"(\infty, (1,1), (6,1), (8,1), (12,2), (17,2), (3,1), (9,1), (18,2), (5,2), (18,1), (2,1), (7,2), (14,2), (16,1), (5,1), (16,2), (13,2), (12,1), (11,1), (11,2), (3,2), (15,1), (0,1), (2,2), (4,2), (13,1), (4,1), (1,2)) ((8,2), (9,2), (10,1), (17,1), (6,2), (15,2), (0,2), (7,1), (10,2), (14,1)) "
"OP(3,7,29)",0,Solved,0.0001,2.7700,false,true,OP(3),2.7670,"(\infty, (5,1), (16,2), (3,2), (8,2), (8,1), (2,2)) ((17,1), (18,2), (14,2)) ((4,2), (12,2), (0,1), (6,1), (13,2), (6,2), (11,1), (2,1), (1,2), (0,2), (10,1), (3,1), (5,2), (15,2), (9,1), (12,1), (10,2), (7,2), (18,1), (4,1), (9,2), (11,2), (15,1), (7,1), (17,2), (13,1), (14,1), (16,1), (1,1)) "
"OP(29,6,4)",0,Solved,0.0000,2.1700,false,true,"OP(5,6)",2.1751,"(\infty, (14,1), (15,1), (0,1), (0,2), (4,2), (13,1), (7,1), (15,2), (5,2), (17,1), (1,1), (7,2), (2,2), (12,1), (2,1), (3,2), (10,2), (11,1), (9,1), (6,2), (12,2), (8,1), (16,1), (14,2), (13,2), (10,1), (5,1), (16,2)) ((4,1), (9,2), (1,2), (18,2), (3,1), (17,2)) ((8,2), (11,2), (18,1), (6,1)) "
"OP(29,5,5)",0,Solved,0.0000,14.4100,false,true,"OP(5,5,5)",14.4218,"(\infty, (2,1), (5,2), (18,2), (8,2), (0,2), (8,1), (10,1), (6,2), (4,2), (15,1), (18,1), (15,2), (16,2), (4,1), (11,1), (9,2), (13,2), (14,1), (9,1), (10,2), (7,2), (13,1), (17,1), (17,2), (3,2), (12,1), (3,1), (12,2)) ((11,2), (5,1), (16,1), (1,2), (6,1)) ((2,2), (14,2), (7,1), (1,1), (0,1)) "
"OP(3,4,3,29)",0,Solved,0.0001,2.1800,false,true,OP(3),2.1803,"(\infty, (1,2), (1,1)) ((17,2), (7,2), (18,2), (3,1)) ((15,1), (14,2), (0,2)) ((15,2), (9,2), (8,1), (12,1), (3,2), (5,2), (17,1), (9,1), (2,2), (6,2), (14,1), (7,1), (4,2), (16,2), (11,1), (10,1), (12,2), (13,2), (0,1), (13,1), (11,2), (8,2), (5,1), (2,1), (10,2), (4,1), (18,1), (16,1), (6,1)) "
"OP(11,28)",0,Solved,0.0000,0.7100,false,true,OP(3),0.7165,"(\infty, (4,1), (7,2), (2,2), (17,1), (6,1), (12,2), (5,2), (9,1), (0,1), (1,2)) ((14,2), (3,2), (10,1), (11,1), (9,2), (0,2), (12,1), (16,1), (8,2), (6,2), (1,1), (13,1), (13,2), (16,2), (14,1), (8,1), (18,2), (17,2), (18,1), (15,1), (10,2), (4,2), (7,1), (2,1), (15,2), (11,2), (3,1), (5,1)) "
"OP(3,8,28)",0,Solved,0.0000,0.4900,false,true,OP(3),0.5010,"(\infty, (2,2), (11,1)) ((6,2), (18,2), (1,1), (5,1), (14,2), (16,2), (4,1), (2,1)) ((1,2), (9,2), (9,1), (16,1), (5,2), (15,2), (0,1), (13,1), (8,2), (4,2), (17,1), (8,1), (11,2), (12,2), (10,1), (18,1), (0,2), (13,2), (14,1), (15,1), (7,2), (10,2), (3,1), (6,1), (3,2), (17,2), (12,1), (7,1)) "
"OP(7,28,4)",0,Solved,0.0000,1.0500,false,true,OP(3),1.0566,"(\infty, (2,1), (14,2), (15,2), (6,1), (8,1), (18,2)) ((5,2), (3,2), (15,1), (12,1), (16,2), (11,2), (17,1), (18,1), (1,2), (8,2), (16,1), (10,1), (6,2), (12,2), (11,1), (3,1), (9,2), (0,2), (1,1), (5,1), (13,2), (17,2), (14,1), (9,1), (4,2), (7,2), (7,1), (0,1)) ((2,2), (10,2), (13,1), (4,1)) "
"OP(5,6,28)",0,Solved,0.0000,2.6200,false,true,"OP(5,6)",2.6245,"(\infty, (0,1), (12,1), (15,1), (6,2)) ((14,1), (9,2), (16,2), (5,2), (9,1), (8,2)) ((4,2), (0,2), (18,1), (10,1), (13,2), (3,2), (13,1), (3,1), (15,2), (17,2), (17,1), (2,1), (10,2), (11,2), (6,1), (8,1), (14,2), (1,2), (16,1), (11,1), (18,2), (2,2), (4,1), (5,1), (7,2), (12,2), (1,1), (7,1)) "
"OP(3,5,3,28)",0,Solved,0.0001,4.0900,false,true,OP(3),4.0991,"(\infty, (13,2), (0,1)) ((14,1), (17,1), (13,1), (6,2), (3,1)) ((10,1), (11,2), (5,2)) ((18,2), (0,2), (17,2), (8,1), (8,2), (16,2), (5,1), (6,1), (10,2), (1,2), (2,1), (11,1), (7,2), (3,2), (12,1), (18,1), (15,2), (12,2), (4,1), (16,1), (4,2), (9,2), (7,1), (9,1), (14,2), (2,2), (15,1), (1,1)) "
"OP(3,4,4,28)",0,Solved,0.0000,0.8700,false,true,OP(3),0.8775,"(\infty, (15,2), (11,1)) ((7,2), (0,2), (1,1), (14,1)) ((2,2), (4,2), (13,1), (4,1)) ((14,2), (9,2), (15,1), (17,1), (12,2), (11,2), (8,1), (3,1), (3,2), (6,2), (9,1), (10,1), (18,2), (5,2), (0,1), (16,1), (17,2), (13,2), (6,1), (2,1), (8,2), (16,2), (7,1), (18,1), (10,2), (1,2), (5,1), (12,1)) "
"OP(27,12)",0,Solved,0.0000,1.7700,false,true,OP(3),1.7788,"(\infty, (7,1), (17,2), (18,2), (18,1), (17,1), (13,2), (5,2), (13,1), (6,1), (3,2), (8,2), (10,1), (5,1), (14,2), (1,2), (2,1), (11,1), (0,2), (10,2), (15,1), (9,1), (11,2), (9,2), (3,1), (0,1), (7,2)) ((2,2), (6,2), (12,1), (1,1), (4,2), (16,2), (4,1), (8,1), (12,2), (15,2), (14,1), (16,1)) "
"OP(3,9,27)",0,Solved,0.0000,2.9900,false,true,OP(3),2.9996,"(\infty, (1,1), (18,2), (9,2), (3,1), (15,1), (4,2), (16,2), (16,1), (11,1), (10,2), (11,2), (4,1), (17,1), (13,2), (8,2), (7,1), (18,1), (15,2), (2,2), (0,1), (9,1), (12,2), (1,2), (6,1), (8,1), (0,2)) ((5,2), (3,2), (7,2), (2,1), (6,2), (12,1), (13,1), (10,1), (14,1)) ((5,1), (17,2), (14,2)) "
