OP_Name;Instance;Status;LabellingTime;Notes;TotalTime;Solution
OP(33,5,3);0;Solved;0,1520;CriticalPath [8, 9, 10, 11];1,1461;(\infty, (15,1), (12,1), (8,2), (2,1), (7,2), (8,1), (19,2), (18,1), (0,1), (10,1), (10,2), (0,2), (14,2), (6,2), (13,1), (19,1), (6,1), (7,1), (16,2), (1,2), (17,1), (1,1), (3,2), (2,2), (4,1), (9,1), (12,2), (5,1), (16,1), (4,2), (13,2), (17,2)) ((11,1), (5,2), (18,2), (15,2), (3,1)) ((11,2), (14,1), (9,2))
OP(31,7,3);0;Solved;0,2990;CriticalPath [8, 9, 10, 11];1,1422;(\infty, (17,1), (16,1), (8,2), (15,1), (2,2), (8,1), (4,2), (18,1), (0,1), (10,1), (10,2), (0,2), (16,2), (7,2), (5,1), (19,1), (7,1), (3,1), (18,2), (17,2), (13,1), (6,1), (15,2), (12,2), (4,1), (9,1), (14,2), (11,1), (14,1), (5,2)) ((19,2), (1,1), (12,1), (13,2), (6,2), (1,2), (2,1)) ((9,2), (3,2), (11,2))
OP(29,9,3);0;Solved;0,8780;CriticalPath [8, 9, 10, 11];1,6844;(\infty, (14,1), (5,1), (4,2), (1,1), (3,2), (2,1), (6,2), (8,1), (0,1), (10,1), (10,2), (0,2), (9,2), (17,2), (6,1), (12,1), (9,1), (7,1), (15,2), (11,2), (17,1), (18,1), (14,2), (1,2), (15,1), (11,1), (18,2), (16,2)) ((4,1), (19,2), (13,2), (16,1), (3,1), (8,2), (7,2), (12,2), (19,1)) ((2,2), (13,1), (5,2))
OP(29,7,5);0;Solved;0,1220;CriticalPath [8, 9, 10, 11];0,9571;(\infty, (8,1), (14,1), (3,2), (12,1), (11,2), (5,1), (16,1), (17,1), (0,1), (10,1), (10,2), (0,2), (19,2), (6,2), (9,1), (7,1), (11,1), (4,1), (18,2), (15,2), (1,2), (19,1), (2,2), (4,2), (3,1), (18,1), (16,2), (12,2)) ((6,1), (13,2), (5,2), (1,1), (13,1), (9,2), (14,2)) ((8,2), (15,1), (7,2), (2,1), (17,2))
OP(29,5,4,3);0;Solved;0,3490;CriticalPath [8, 9, 10, 11];1,1937;(\infty, (15,1), (11,1), (4,2), (6,1), (2,2), (16,1), (5,2), (18,1), (0,1), (10,1), (10,2), (0,2), (6,2), (8,2), (3,1), (12,1), (5,1), (19,1), (3,2), (11,2), (9,1), (8,1), (9,2), (18,2), (1,1), (13,1), (12,2), (7,2)) ((2,1), (13,2), (17,2), (14,1), (17,1)) ((15,2), (14,2), (1,2), (7,1)) ((16,2), (4,1), (19,2))
OP(27,11,3);0;Solved;0,1960;CriticalPath [8, 9, 10, 11];1,0012;(\infty, (1,1), (3,1), (6,2), (4,1), (5,2), (8,1), (9,1), (13,1), (0,1), (10,1), (10,2), (0,2), (19,2), (1,2), (2,1), (5,1), (11,1), (19,1), (8,2), (14,2), (11,2), (18,1), (12,2), (3,2), (7,1), (15,2)) ((18,2), (6,1), (15,1), (13,2), (17,2), (12,1), (17,1), (4,2), (16,2), (9,2), (14,1)) ((2,2), (16,1), (7,2))
OP(27,9,5);0;Solved;0,1020;CriticalPath [8, 9, 10, 11];0,9420;(\infty, (2,1), (6,1), (3,2), (19,1), (4,2), (18,1), (17,1), (14,1), (0,1), (10,1), (10,2), (0,2), (6,2), (9,2), (7,1), (16,1), (11,1), (3,1), (2,2), (11,2), (15,2), (4,1), (18,2), (19,2), (1,1), (14,2)) ((7,2), (15,1), (13,1), (8,2), (1,2), (5,1), (12,1), (13,2), (5,2)) ((17,2), (8,1), (16,2), (9,1), (12,2))
OP(27,7,4,3);0;Solved;0,7020;CriticalPath [8, 9, 10, 11];1,5062;(\infty, (15,1), (7,1), (13,2), (19,1), (4,2), (3,1), (12,1), (13,1), (0,1), (10,1), (10,2), (0,2), (18,2), (17,2), (8,1), (14,1), (9,1), (6,1), (3,2), (11,2), (16,2), (4,1), (8,2), (12,2), (5,1), (7,2)) ((19,2), (1,1), (17,1), (5,2), (14,2), (18,1), (16,1)) ((6,2), (9,2), (2,2), (11,1)) ((15,2), (2,1), (1,2))
OP(27,6,5,3);0;Solved;0,1750;CriticalPath [8, 9, 10, 11];1,0099;(\infty, (16,1), (11,1), (15,2), (12,1), (4,2), (17,1), (8,1), (2,1), (0,1), (10,1), (10,2), (0,2), (7,2), (9,2), (15,1), (18,1), (19,1), (7,1), (13,2), (1,2), (12,2), (4,1), (17,2), (2,2), (3,1), (18,2)) ((16,2), (5,1), (1,1), (19,2), (3,2), (14,1)) ((13,1), (14,2), (8,2), (11,2), (6,1)) ((6,2), (9,1), (5,2))
OP(27,5,3,3,3);0;Solved;0,3490;CriticalPath [8, 9, 10, 11];1,2083;(\infty, (1,1), (2,1), (6,2), (4,1), (7,2), (11,1), (8,1), (6,1), (0,1), (10,1), (10,2), (0,2), (11,2), (17,2), (3,1), (7,1), (18,1), (13,1), (1,2), (14,2), (12,2), (15,1), (13,2), (9,2), (14,1), (15,2)) ((18,2), (9,1), (17,1), (2,2), (19,2)) ((12,1), (19,1), (5,2)) ((16,2), (4,2), (5,1)) ((3,2), (16,1), (8,2))
