OP_Name,Instance,Status,LabellingTime,Notes,TotalTime,Solution
"OP(37,5,3)",0,Solved,"0,0710","CriticalPath [9, 10, 11, 12]","1,2186","(\infty, (3,1), (5,2), (4,1), (1,2), (7,1), (10,2), (5,1), (18,2), (8,1), (0,1), (11,1), (11,2), (0,2), (9,2), (4,2), (9,1), (12,1), (21,1), (20,1), (14,1), (2,1), (6,2), (16,2), (1,1), (6,1), (2,2), (17,2), (13,2), (15,1), (19,1), (3,2), (17,1), (10,1), (19,2), (21,2), (7,2)) ((13,1), (12,2), (15,2), (14,2), (20,2)) ((8,2), (16,1), (18,1)) "
"OP(35,7,3)",0,Solved,"0,0730","CriticalPath [9, 10, 11, 12]","1,0469","(\infty, (3,1), (5,2), (4,1), (1,2), (7,1), (10,2), (5,1), (20,2), (8,1), (0,1), (11,1), (11,2), (0,2), (14,2), (15,2), (8,2), (9,1), (12,1), (21,1), (14,1), (2,1), (6,2), (18,2), (1,1), (6,1), (2,2), (19,2), (21,2), (13,1), (17,1), (4,2), (16,1), (10,1), (17,2)) ((18,1), (20,1), (19,1), (3,2), (16,2), (12,2), (9,2)) ((7,2), (13,2), (15,1)) "
"OP(33,9,3)",0,Solved,"0,2120","CriticalPath [9, 10, 11, 12]","1,1781","(\infty, (5,1), (8,2), (16,1), (7,2), (3,1), (9,2), (15,1), (10,2), (20,1), (0,1), (11,1), (11,2), (0,2), (18,2), (21,2), (14,2), (17,1), (10,1), (6,1), (12,1), (21,1), (1,2), (6,2), (13,1), (14,1), (13,2), (15,2), (5,2), (18,1), (8,1), (16,2), (17,2)) ((19,1), (2,2), (4,1), (7,1), (2,1), (3,2), (12,2), (20,2), (4,2)) ((19,2), (1,1), (9,1)) "
"OP(33,7,5)",0,Solved,"0,4130","CriticalPath [9, 10, 11, 12]","1,3927","(\infty, (9,1), (4,2), (8,1), (5,2), (15,1), (13,2), (20,1), (8,2), (5,1), (0,1), (11,1), (11,2), (0,2), (19,2), (18,2), (20,2), (13,1), (14,1), (18,1), (10,1), (3,1), (7,2), (15,2), (6,1), (4,1), (12,2), (6,2), (10,2), (16,1), (19,1), (2,2), (17,2)) ((17,1), (1,2), (21,1), (12,1), (2,1), (3,2), (16,2)) ((14,2), (9,2), (21,2), (7,1), (1,1)) "
"OP(33,5,4,3)",0,Solved,"1,3220","CriticalPath [9, 10, 11, 12]","2,3126","(\infty, (3,1), (9,2), (2,1), (4,2), (6,1), (10,2), (16,1), (13,2), (14,1), (0,1), (11,1), (11,2), (0,2), (6,2), (14,2), (5,1), (17,1), (8,2), (13,1), (12,1), (8,1), (18,2), (21,2), (9,1), (7,1), (3,2), (12,2), (5,2), (19,1), (4,1), (19,2), (7,2)) ((20,1), (1,2), (18,1), (21,1), (15,1)) ((17,2), (15,2), (20,2), (16,2)) ((2,2), (10,1), (1,1)) "
"OP(31,11,3)",0,Solved,"1,0730","CriticalPath [9, 10, 11, 12]","2,0147","(\infty, (5,1), (13,2), (4,1), (6,2), (16,1), (1,2), (20,1), (3,2), (12,1), (0,1), (11,1), (11,2), (0,2), (20,2), (5,2), (9,2), (13,1), (8,1), (14,1), (21,1), (1,1), (2,2), (14,2), (19,1), (18,1), (12,2), (4,2), (10,2), (17,1), (15,2)) ((7,2), (10,1), (2,1), (8,2), (9,1), (6,1), (15,1), (19,2), (18,2), (21,2), (16,2)) ((17,2), (7,1), (3,1)) "
"OP(31,9,5)",0,Solved,"0,0450","CriticalPath [9, 10, 11, 12]","1,0117","(\infty, (15,1), (14,2), (5,1), (12,2), (20,1), (10,2), (6,1), (2,2), (19,1), (0,1), (11,1), (11,2), (0,2), (19,2), (5,2), (17,2), (1,1), (7,1), (17,1), (9,1), (2,1), (3,2), (1,2), (21,1), (16,1), (4,2), (20,2), (16,2), (18,1), (15,2)) ((6,2), (13,1), (14,1), (9,2), (3,1), (12,1), (10,1), (18,2), (13,2)) ((21,2), (8,2), (7,2), (4,1), (8,1)) "
"OP(31,7,4,3)",0,Solved,"0,3720","CriticalPath [9, 10, 11, 12]","1,3314","(\infty, (16,1), (15,2), (3,1), (21,2), (18,1), (4,2), (20,1), (7,2), (14,1), (0,1), (11,1), (11,2), (0,2), (14,2), (5,2), (1,2), (21,1), (12,1), (6,1), (13,1), (1,1), (17,2), (20,2), (7,1), (2,1), (3,2), (9,2), (10,2), (15,1), (12,2)) ((19,2), (9,1), (10,1), (8,2), (4,1), (8,1), (5,1)) ((6,2), (16,2), (18,2), (13,2)) ((2,2), (19,1), (17,1)) "
"OP(31,6,5,3)",0,Solved,"0,3820","CriticalPath [9, 10, 11, 12]","1,3612","(\infty, (7,1), (4,2), (12,1), (5,2), (3,1), (6,2), (21,1), (7,2), (13,1), (0,1), (11,1), (11,2), (0,2), (8,2), (13,2), (20,2), (10,1), (18,1), (17,1), (15,1), (5,1), (10,2), (9,2), (8,1), (2,1), (19,2), (16,2), (3,2), (4,1), (17,2)) ((20,1), (16,1), (9,1), (15,2), (21,2), (1,1)) ((6,1), (18,2), (14,2), (12,2), (2,2)) ((1,2), (14,1), (19,1)) "
"OP(31,5,3,3,3)",0,Solved,"0,4770","CriticalPath [9, 10, 11, 12]","1,4021","(\infty, (10,1), (8,2), (9,1), (18,2), (12,1), (15,2), (5,1), (13,2), (1,1), (0,1), (11,1), (11,2), (0,2), (16,2), (2,2), (5,2), (3,1), (16,1), (6,1), (13,1), (18,1), (3,2), (4,2), (7,1), (15,1), (7,2), (17,2), (19,2), (2,1), (20,2)) ((20,1), (14,1), (17,1), (21,2), (14,2)) ((4,1), (8,1), (9,2)) ((6,2), (10,2), (1,2)) ((12,2), (21,1), (19,1)) "
"OP(30,7,5,3)",0,Solved,"0,3290","CriticalPath [9, 10, 11, 12]","1,2614","(\infty, (9,1), (18,2), (5,1), (13,2), (19,1), (7,2), (1,1), (2,2), (7,1), (0,1), (11,1), (11,2), (0,2), (12,2), (14,2), (20,2), (2,1), (10,1), (13,1), (18,1), (17,1), (16,2), (19,2), (21,1), (15,1), (5,2), (4,2), (17,2), (21,2)) ((6,1), (10,2), (3,1), (16,1), (9,2), (12,1), (8,1)) ((20,1), (3,2), (8,2), (15,2), (1,2)) ((6,2), (14,1), (4,1)) "
"OP(29,13,3)",0,Solved,"0,7770","CriticalPath [9, 10, 11, 12]","1,7339","(\infty, (17,1), (3,2), (16,1), (10,2), (15,1), (5,2), (14,1), (7,2), (2,1), (0,1), (11,1), (11,2), (0,2), (18,2), (19,2), (16,2), (6,1), (5,1), (12,1), (18,1), (8,1), (15,2), (21,2), (7,1), (3,1), (6,2), (20,2), (13,2)) ((13,1), (21,1), (1,2), (19,1), (10,1), (8,2), (9,1), (4,1), (1,1), (2,2), (12,2), (14,2), (9,2)) ((17,2), (4,2), (20,1)) "
